season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
2,1,5,21,0,2,1,3,0.64,0.6061,0.73,0.2836,11,98,109
3,0,7,21,0,1,1,1,0.7,0.6667,0.79,0.4179,21,109,130
3,0,9,5,0,5,1,2,0.6,0.5606,0.83,0.1343,0,20,20
2,1,6,22,0,3,1,1,0.52,0.5,0.77,0.0896,27,221,248
2,0,4,16,0,2,1,1,0.38,0.3939,0.46,0.4179,17,113,130
4,0,9,19,0,6,0,1,0.62,0.5606,0.88,0.0,77,231,308
1,1,1,18,0,1,1,4,0.2,0.2273,0.86,0.0896,6,158,164
1,1,2,10,0,4,1,1,0.22,0.2121,0.51,0.2239,7,90,97
3,0,8,14,0,4,1,1,0.8,0.7576,0.55,0.1642,53,114,167
1,1,1,7,0,3,1,1,0.2,0.2121,0.8,0.1343,9,247,256
1,1,1,1,0,5,1,1,0.22,0.2727,0.75,0.0,2,6,8
3,0,6,4,0,3,1,1,0.64,0.5758,0.83,0.0,3,8,11
1,0,2,15,0,6,0,3,0.22,0.2727,1.0,0.0,11,49,60
4,0,11,21,0,0,0,2,0.48,0.4697,0.77,0.0896,11,94,105
1,0,2,12,0,1,1,2,0.32,0.3485,0.62,0.0,7,59,66
3,0,7,10,0,2,1,1,0.82,0.7727,0.52,0.1642,38,85,123
1,0,2,6,0,6,0,1,0.4,0.4091,0.17,0.4179,3,3,6
4,0,11,16,1,4,0,1,0.5,0.4848,0.34,0.2836,48,66,114
2,0,5,0,0,5,1,1,0.68,0.6364,0.69,0.2537,14,55,69
2,1,3,16,0,0,0,1,0.48,0.4697,0.77,0.0,153,339,492
1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,1,94,95
3,1,6,2,0,0,0,2,0.68,0.6364,0.51,0.0,34,80,114
4,0,10,10,0,6,0,1,0.52,0.5,0.77,0.0,120,217,337
2,0,5,1,0,3,1,3,0.58,0.5455,0.83,0.194,6,2,8
2,1,6,18,0,6,0,1,0.82,0.697,0.24,0.2239,175,276,451
2,0,4,12,0,1,1,2,0.56,0.5303,0.49,0.0896,60,124,184
2,0,5,7,0,6,0,3,0.48,0.4697,1.0,0.0,4,28,32
2,1,3,19,0,2,1,1,0.42,0.4242,0.17,0.0,40,377,417
2,0,6,18,0,3,1,3,0.82,0.7879,0.56,0.3881,31,278,309
1,1,1,2,0,6,0,1,0.36,0.3636,0.5,0.1045,2,36,38
2,1,5,17,1,1,0,1,0.82,0.7879,0.56,0.2985,158,247,405
4,0,10,14,0,3,1,1,0.64,0.6212,0.41,0.2836,34,156,190
2,0,4,15,0,1,1,1,0.76,0.6667,0.23,0.5522,47,96,143
2,1,5,5,0,2,1,3,0.56,0.5303,0.94,0.2239,0,8,8
2,0,5,5,0,4,1,1,0.42,0.4242,0.94,0.1343,2,27,29
1,1,3,23,0,6,0,1,0.42,0.4242,0.24,0.0,12,94,106
2,0,4,18,0,6,0,1,0.58,0.5455,0.78,0.194,149,227,376
2,0,4,10,0,4,1,2,0.62,0.5606,0.88,0.2836,9,45,54
1,1,3,19,0,2,1,1,0.34,0.303,0.46,0.2985,9,278,287
2,1,6,10,0,5,1,2,0.66,0.6061,0.78,0.2836,49,155,204
2,0,4,16,0,3,1,1,0.54,0.5152,0.28,0.4179,27,142,169
1,1,2,16,0,4,1,1,0.46,0.4545,0.55,0.2836,18,211,229
4,0,12,17,0,2,1,2,0.46,0.4545,1.0,0.2239,13,249,262
1,0,3,6,0,3,1,2,0.24,0.2576,0.85,0.1045,5,44,49
3,1,6,3,0,6,0,2,0.64,0.5758,0.89,0.0,3,20,23
1,1,1,15,0,2,1,1,0.16,0.1212,0.37,0.4179,9,68,77
1,0,3,5,0,1,1,1,0.2,0.1818,0.75,0.3582,0,1,1
4,0,11,18,0,5,1,1,0.3,0.303,0.36,0.1642,16,312,328
2,1,5,20,0,1,1,1,0.54,0.5152,0.52,0.2836,46,277,323
2,1,4,1,0,1,1,3,0.34,0.303,0.87,0.3582,1,1,2
1,1,3,23,0,5,1,2,0.36,0.3788,0.87,0.0,4,19,23
2,1,4,9,0,2,1,1,0.4,0.4091,0.47,0.3582,6,302,308
4,0,10,2,0,6,0,1,0.4,0.4091,0.62,0.2537,6,25,31
1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46
1,0,12,8,0,4,1,2,0.2,0.2576,0.64,0.0,3,207,210
1,1,2,2,0,2,1,1,0.24,0.2879,0.6,0.0,0,3,3
1,1,2,12,0,0,0,2,0.26,0.2576,0.65,0.194,25,223,248
1,1,1,4,0,3,1,1,0.26,0.2424,0.7,0.2836,0,4,4
