season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
0.63485104,-5.1993375,0.49497098,-5.1993375,-5.1993375,0.8022257,5.1993375,-5.1993375,1.8730533,2.4569042,0.032624554,-0.41974097,-0.24842732,-0.4668033,60
5.1993375,-5.1993375,5.1993375,-0.49780908,-5.1993375,0.8022257,5.1993375,-5.1993375,-1.3432866,-1.0864561,0.5034974,-0.9979197,-0.6119958,0.6943106,199
0.63485104,5.1993375,0.49497098,-0.27308902,2.3863401,0.0,-5.1993375,-5.1993375,1.4865369,1.4354771,-0.43348193,-5.1993375,1.3716571,0.7380889,293
-5.1993375,-5.1993375,-1.0041313,-1.2557429,-5.1993375,0.0,5.1993375,1.7330711,-1.3432866,-1.3041214,1.4941548,-0.41974097,-0.6119958,-5.1993375,4
-5.1993375,-5.1993375,-5.1993375,5.1993375,-5.1993375,0.8022257,5.1993375,0.8039577,-1.6844637,-1.6159455,-0.4794316,-0.16128126,-1.1210601,-0.97546566,15
5.1993375,-5.1993375,1.0752066,-0.61957824,-5.1993375,0.37359083,5.1993375,1.7330711,0.04517981,0.04517981,0.8161499,-5.1993375,-0.6119958,-0.5583922,46
-5.1993375,5.1993375,-5.1993375,-0.49780908,-5.1993375,-0.79876894,5.1993375,-5.1993375,-1.3432866,-1.4678603,-0.81790155,0.7546643,-0.6119958,0.8462785,225
-5.1993375,5.1993375,-5.1993375,-1.2557429,-5.1993375,-0.79876894,5.1993375,-5.1993375,-1.1819205,-1.1819205,-0.24454752,-0.41974097,-0.8845926,-1.7002225,5
-0.07534538,-5.1993375,-0.028859068,5.1993375,-5.1993375,0.8022257,5.1993375,-5.1993375,0.12958239,0.1321131,0.37897724,-0.16128126,0.017564854,-0.022584142,115
0.63485104,-5.1993375,0.66898733,-0.89390755,-5.1993375,0.8022257,5.1993375,-5.1993375,0.6975072,0.5569266,0.6425432,-0.41974097,-1.1210601,-1.2838364,7
-5.1993375,5.1993375,-1.0041313,0.483658,-5.1993375,5.1993375,-5.1993375,1.7330711,-1.3432866,-1.6159455,0.5034974,1.6395385,-0.101795614,0.26138738,146
-0.07534538,-5.1993375,0.25879192,0.60294306,-5.1993375,-0.79876894,5.1993375,-5.1993375,1.0293753,0.93585205,-1.1070594,1.1376774,1.1595153,2.080649,601
-0.07534538,5.1993375,-0.31633034,0.60294306,-5.1993375,0.0,5.1993375,-5.1993375,-0.25749484,-0.25749484,-1.3526227,1.4678603,0.84987354,2.0744448,579
5.1993375,-5.1993375,1.3748783,-0.27308902,-5.1993375,5.1993375,-5.1993375,-5.1993375,-0.8444851,-0.9835733,-0.24454752,0.9554714,0.41974106,0.0766035,141
-0.07534538,5.1993375,-0.028859068,0.05271626,-5.1993375,0.0,5.1993375,-5.1993375,1.0293753,1.0422468,-0.34681714,0.08289633,0.9674215,1.1257763,330
-5.1993375,-5.1993375,-1.0041313,0.26268575,-5.1993375,-5.1993375,-5.1993375,-5.1993375,-0.1752784,-0.1752784,-0.6674191,-0.9979197,1.5135888,0.5745945,282
-0.07534538,5.1993375,-0.31633034,-0.61957824,-5.1993375,5.1993375,-5.1993375,-5.1993375,-0.6044485,-0.6014392,0.54088247,-0.16128126,-0.8845926,-0.87167925,21
-0.07534538,-5.1993375,0.25879192,-1.0552931,-5.1993375,-0.3749365,5.1993375,-5.1993375,0.3816746,0.4060789,-0.38978344,1.1376774,-1.1210601,-2.3259726,2
0.63485104,-5.1993375,0.8516752,-0.49780908,-5.1993375,-0.79876894,5.1993375,-5.1993375,0.3816746,0.4060789,0.9108728,-5.1993375,-0.101795614,1.2612822,312
0.63485104,-5.1993375,0.49497098,-0.61957824,-5.1993375,0.0,5.1993375,-5.1993375,1.0293753,1.1743866,0.6911211,-0.9979197,-0.24842732,0.085414365,121
5.1993375,-5.1993375,0.8516752,-1.2557429,-5.1993375,0.0,5.1993375,-5.1993375,0.45842573,0.4060789,1.2447784,0.54378915,-5.1993375,-1.1117021,9
-5.1993375,5.1993375,-5.1993375,-0.49780908,-5.1993375,0.37359083,5.1993375,0.8039577,-0.6044485,-0.69590795,1.0774456,0.7546643,-0.8845926,0.8249334,220
5.1993375,-5.1993375,1.0752066,1.5376911,-5.1993375,0.8022257,5.1993375,1.7330711,-0.8444851,-0.8920384,0.5034974,0.7546643,-0.6119958,-0.6549305,36
0.63485104,-5.1993375,0.66898733,0.60294306,-5.1993375,-0.79876894,5.1993375,-5.1993375,1.3340662,1.0422468,-1.8952593,1.1376774,1.2895781,2.0104392,591
0.63485104,5.1993375,0.49497098,-0.61957824,-5.1993375,-5.1993375,-5.1993375,-5.1993375,1.0293753,1.1743866,0.6911211,-0.9979197,-0.30579624,-0.87167925,27
-5.1993375,5.1993375,-1.0041313,-0.7513327,-5.1993375,0.37359083,5.1993375,1.7330711,-0.34681714,-0.34681714,0.8161499,-5.1993375,-5.1993375,-0.87167925,19
0.63485104,-5.1993375,0.8516752,-0.49780908,-5.1993375,-0.3749365,5.1993375,0.8039577,0.21748832,0.22520241,1.2447784,-0.16128126,0.24842732,1.2809814,329
0.63485104,-5.1993375,0.66898733,-1.2557429,-5.1993375,0.8022257,5.1993375,-5.1993375,0.57311535,0.781626,-0.20594123,0.08289633,-5.1993375,-0.95547146,15
5.1993375,-5.1993375,1.3748783,-0.05145999,-5.1993375,0.8022257,5.1993375,-5.1993375,-0.34681714,-0.34681714,0.15492958,-0.69431055,1.4568957,0.20594123,226
0.63485104,-5.1993375,0.49497098,1.2557429,-5.1993375,-5.1993375,-5.1993375,-5.1993375,1.7055707,2.0744448,0.032624554,-0.41974097,0.6784326,0.0766035,153
-0.07534538,-5.1993375,-0.028859068,-0.49780908,-5.1993375,0.8022257,5.1993375,-5.1993375,0.04517981,0.04517981,0.58647317,-0.16128126,0.41974106,1.2101372,319
-0.07534538,5.1993375,0.25879192,-1.0552931,-5.1993375,0.8022257,5.1993375,0.8039577,0.57311535,0.5569266,0.4156343,-0.9979197,-5.1993375,-1.5135889,4
5.1993375,-5.1993375,1.0752066,0.15492958,-5.1993375,0.0,5.1993375,0.8039577,0.21748832,0.22520241,1.7679036,0.7546643,0.17527847,-0.14858401,106
-0.07534538,5.1993375,0.25879192,0.37090167,-5.1993375,5.1993375,-5.1993375,-5.1993375,0.6975072,0.781626,-1.1669186,0.54378915,3.089564,1.6153126,702
-5.1993375,-5.1993375,-5.1993375,-0.61957824,-5.1993375,0.0,5.1993375,-5.1993375,-2.2899878,-1.9510504,1.4941548,-0.41974097,-5.1993375,-0.93390995,16
0.63485104,-5.1993375,0.49497098,-5.1993375,-5.1993375,0.37359083,5.1993375,-5.1993375,0.8231716,0.781626,0.2536062,0.9554714,-0.01881963,-0.6549305,46
5.1993375,-5.1993375,1.0752066,1.2557429,-5.1993375,0.8022257,5.1993375,1.7330711,-0.72008693,-0.69590795,0.30579624,-0.16128126,-0.51779026,-0.30185476,74
5.1993375,-5.1993375,0.8516752,-0.49780908,-5.1993375,-0.3749365,5.1993375,0.8039577,0.57311535,0.4060789,1.7679036,-0.69431055,0.017564854,0.92617625,249
0.63485104,-5.1993375,0.25879192,1.2557429,-5.1993375,-0.3749365,5.1993375,-5.1993375,1.1743866,1.4354771,0.46121463,0.08289633,0.590949,0.66741896,229
-0.07534538,5.1993375,-0.028859068,0.15492958,-5.1993375,5.1993375,-5.1993375,-5.1993375,1.0293753,0.93585205,-1.2286069,-0.41974097,3.290145,1.5083505,704
-0.07534538,5.1993375,-0.31633034,-0.61957824,-5.1993375,-0.79876894,5.1993375,0.8039577,-0.8444851,-0.9835733,0.7596774,0.9554714,-0.8845926,-0.54815775,45
0.63485104,-5.1993375,0.8516752,-0.38302436,-5.1993375,0.8022257,5.1993375,-5.1993375,-0.25749484,-0.25749484,0.19058746,0.32028964,0.24842732,1.5500848,409
0.63485104,5.1993375,0.25879192,-1.0552931,-5.1993375,5.1993375,-5.1993375,0.8039577,0.6975072,0.50065124,0.9108728,-0.9979197,-0.1982585,-0.6549305,42
-0.07534538,-5.1993375,-0.31633034,0.37090167,-5.1993375,0.8022257,5.1993375,1.7330711,-0.6044485,-0.6014392,1.0774456,0.08289633,-0.057742197,-0.3628503,75
