season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
2.0,1.0,5.0,21.0,0.0,2.0,1.0,3.0,0.6399999856948853,0.6061000227928162,0.7300000190734863,0.28360000252723694,11.0,98.0,109
3.0,0.0,7.0,21.0,0.0,1.0,1.0,1.0,0.699999988079071,0.666700005531311,0.7900000214576721,0.4178999960422516,21.0,109.0,130
3.0,0.0,9.0,5.0,0.0,5.0,1.0,2.0,0.6000000238418579,0.5605999827384949,0.8299999833106995,0.13429999351501465,0.0,20.0,20
2.0,1.0,6.0,22.0,0.0,3.0,1.0,1.0,0.5199999809265137,0.5,0.7699999809265137,0.08959999680519104,27.0,221.0,248
2.0,0.0,4.0,16.0,0.0,2.0,1.0,1.0,0.3799999952316284,0.3939000070095062,0.46000000834465027,0.4178999960422516,17.0,113.0,130
4.0,0.0,9.0,19.0,0.0,6.0,0.0,1.0,0.6200000047683716,0.5605999827384949,0.8799999952316284,0.0,77.0,231.0,308
1.0,1.0,1.0,18.0,0.0,1.0,1.0,4.0,0.20000000298023224,0.2273000031709671,0.8600000143051147,0.08959999680519104,6.0,158.0,164
1.0,1.0,2.0,10.0,0.0,4.0,1.0,1.0,0.2199999988079071,0.21209999918937683,0.5099999904632568,0.22390000522136688,7.0,90.0,97
3.0,0.0,8.0,14.0,0.0,4.0,1.0,1.0,0.800000011920929,0.7576000094413757,0.550000011920929,0.16419999301433563,53.0,114.0,167
1.0,1.0,1.0,7.0,0.0,3.0,1.0,1.0,0.20000000298023224,0.21209999918937683,0.800000011920929,0.13429999351501465,9.0,247.0,256
1.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,0.2199999988079071,0.2727000117301941,0.75,0.0,2.0,6.0,8
3.0,0.0,6.0,4.0,0.0,3.0,1.0,1.0,0.6399999856948853,0.5758000016212463,0.8299999833106995,0.0,3.0,8.0,11
1.0,0.0,2.0,15.0,0.0,6.0,0.0,3.0,0.2199999988079071,0.2727000117301941,1.0,0.0,11.0,49.0,60
4.0,0.0,11.0,21.0,0.0,0.0,0.0,2.0,0.47999998927116394,0.46970000863075256,0.7699999809265137,0.08959999680519104,11.0,94.0,105
1.0,0.0,2.0,12.0,0.0,1.0,1.0,2.0,0.3199999928474426,0.34850001335144043,0.6200000047683716,0.0,7.0,59.0,66
3.0,0.0,7.0,10.0,0.0,2.0,1.0,1.0,0.8199999928474426,0.7727000117301941,0.5199999809265137,0.16419999301433563,38.0,85.0,123
1.0,0.0,2.0,6.0,0.0,6.0,0.0,1.0,0.4000000059604645,0.4090999960899353,0.17000000178813934,0.4178999960422516,3.0,3.0,6
4.0,0.0,11.0,16.0,1.0,4.0,0.0,1.0,0.5,0.4848000109195709,0.3400000035762787,0.28360000252723694,48.0,66.0,114
2.0,0.0,5.0,0.0,0.0,5.0,1.0,1.0,0.6800000071525574,0.6363999843597412,0.6899999976158142,0.25369998812675476,14.0,55.0,69
2.0,1.0,3.0,16.0,0.0,0.0,0.0,1.0,0.47999998927116394,0.46970000863075256,0.7699999809265137,0.0,153.0,339.0,492
1.0,0.0,1.0,18.0,0.0,2.0,1.0,3.0,0.1599999964237213,0.1817999929189682,0.9300000071525574,0.10450000315904617,1.0,94.0,95
3.0,1.0,6.0,2.0,0.0,0.0,0.0,2.0,0.6800000071525574,0.6363999843597412,0.5099999904632568,0.0,34.0,80.0,114
4.0,0.0,10.0,10.0,0.0,6.0,0.0,1.0,0.5199999809265137,0.5,0.7699999809265137,0.0,120.0,217.0,337
2.0,0.0,5.0,1.0,0.0,3.0,1.0,3.0,0.5799999833106995,0.5454999804496765,0.8299999833106995,0.1940000057220459,6.0,2.0,8
2.0,1.0,6.0,18.0,0.0,6.0,0.0,1.0,0.8199999928474426,0.6970000267028809,0.23999999463558197,0.22390000522136688,175.0,276.0,451
2.0,0.0,4.0,12.0,0.0,1.0,1.0,2.0,0.5600000023841858,0.5303000211715698,0.49000000953674316,0.08959999680519104,60.0,124.0,184
2.0,0.0,5.0,7.0,0.0,6.0,0.0,3.0,0.47999998927116394,0.46970000863075256,1.0,0.0,4.0,28.0,32
2.0,1.0,3.0,19.0,0.0,2.0,1.0,1.0,0.41999998688697815,0.42419999837875366,0.17000000178813934,0.0,40.0,377.0,417
2.0,0.0,6.0,18.0,0.0,3.0,1.0,3.0,0.8199999928474426,0.7878999710083008,0.5600000023841858,0.3880999982357025,31.0,278.0,309
1.0,1.0,1.0,2.0,0.0,6.0,0.0,1.0,0.36000001430511475,0.3635999858379364,0.5,0.10450000315904617,2.0,36.0,38
2.0,1.0,5.0,17.0,1.0,1.0,0.0,1.0,0.8199999928474426,0.7878999710083008,0.5600000023841858,0.2985000014305115,158.0,247.0,405
4.0,0.0,10.0,14.0,0.0,3.0,1.0,1.0,0.6399999856948853,0.6212000250816345,0.4099999964237213,0.28360000252723694,34.0,156.0,190
2.0,0.0,4.0,15.0,0.0,1.0,1.0,1.0,0.7599999904632568,0.666700005531311,0.23000000417232513,0.5522000193595886,47.0,96.0,143
2.0,1.0,5.0,5.0,0.0,2.0,1.0,3.0,0.5600000023841858,0.5303000211715698,0.9399999976158142,0.22390000522136688,0.0,8.0,8
2.0,0.0,5.0,5.0,0.0,4.0,1.0,1.0,0.41999998688697815,0.42419999837875366,0.9399999976158142,0.13429999351501465,2.0,27.0,29
1.0,1.0,3.0,23.0,0.0,6.0,0.0,1.0,0.41999998688697815,0.42419999837875366,0.23999999463558197,0.0,12.0,94.0,106
2.0,0.0,4.0,18.0,0.0,6.0,0.0,1.0,0.5799999833106995,0.5454999804496765,0.7799999713897705,0.1940000057220459,149.0,227.0,376
2.0,0.0,4.0,10.0,0.0,4.0,1.0,2.0,0.6200000047683716,0.5605999827384949,0.8799999952316284,0.28360000252723694,9.0,45.0,54
1.0,1.0,3.0,19.0,0.0,2.0,1.0,1.0,0.3400000035762787,0.30300000309944153,0.46000000834465027,0.2985000014305115,9.0,278.0,287
2.0,1.0,6.0,10.0,0.0,5.0,1.0,2.0,0.6600000262260437,0.6061000227928162,0.7799999713897705,0.28360000252723694,49.0,155.0,204
2.0,0.0,4.0,16.0,0.0,3.0,1.0,1.0,0.5400000214576721,0.5152000188827515,0.2800000011920929,0.4178999960422516,27.0,142.0,169
1.0,1.0,2.0,16.0,0.0,4.0,1.0,1.0,0.46000000834465027,0.4544999897480011,0.550000011920929,0.28360000252723694,18.0,211.0,229
4.0,0.0,12.0,17.0,0.0,2.0,1.0,2.0,0.46000000834465027,0.4544999897480011,1.0,0.22390000522136688,13.0,249.0,262
1.0,0.0,3.0,6.0,0.0,3.0,1.0,2.0,0.23999999463558197,0.25760000944137573,0.8500000238418579,0.10450000315904617,5.0,44.0,49
3.0,1.0,6.0,3.0,0.0,6.0,0.0,2.0,0.6399999856948853,0.5758000016212463,0.8899999856948853,0.0,3.0,20.0,23
1.0,1.0,1.0,15.0,0.0,2.0,1.0,1.0,0.1599999964237213,0.12120000272989273,0.3700000047683716,0.4178999960422516,9.0,68.0,77
1.0,0.0,3.0,5.0,0.0,1.0,1.0,1.0,0.20000000298023224,0.1817999929189682,0.75,0.3582000136375427,0.0,1.0,1
4.0,0.0,11.0,18.0,0.0,5.0,1.0,1.0,0.30000001192092896,0.30300000309944153,0.36000001430511475,0.16419999301433563,16.0,312.0,328
2.0,1.0,5.0,20.0,0.0,1.0,1.0,1.0,0.5400000214576721,0.5152000188827515,0.5199999809265137,0.28360000252723694,46.0,277.0,323
2.0,1.0,4.0,1.0,0.0,1.0,1.0,3.0,0.3400000035762787,0.30300000309944153,0.8700000047683716,0.3582000136375427,1.0,1.0,2
1.0,1.0,3.0,23.0,0.0,5.0,1.0,2.0,0.36000001430511475,0.37880000472068787,0.8700000047683716,0.0,4.0,19.0,23
2.0,1.0,4.0,9.0,0.0,2.0,1.0,1.0,0.4000000059604645,0.4090999960899353,0.4699999988079071,0.3582000136375427,6.0,302.0,308
4.0,0.0,10.0,2.0,0.0,6.0,0.0,1.0,0.4000000059604645,0.4090999960899353,0.6200000047683716,0.25369998812675476,6.0,25.0,31
1.0,0.0,1.0,11.0,0.0,3.0,1.0,1.0,0.25999999046325684,0.2273000031709671,0.33000001311302185,0.32839998602867126,12.0,34.0,46
